name,subtext,price,ratting,stock
Dubuisson Surfine,Saison Beer | 6.5% | 33 cl,£ 2.69,(3.30),out-of-stock
Jever Fun,| 0.3% | 33 cl,£ 1.79,(2.46),out-of-stock
De Koninck Wild Jo,Blond Beer | 5.8% | 33 cl,£ 2.79,(3.25),out-of-stock
Cinema Brewers Big Lebowski,Pilsner & Hoppy Lager | 4.5% | 33 cl,£ 2.69,(3.28),out-of-stock
Brussels Beer Project Delta Ipa,IPA | 6.0% | 33 cl,£ 2.85,(3.73),out-of-stock
Blanche De Silly,White Beer | 5.0% | 25 cl,£ 2.49,(3.22),out-of-stock
De Leckere Blauwe Bijl,Barley Wine | 10.0% | 25 cl,£ 2.99,(3.49),out-of-stock
Engelszell Gregorius,Quadrupel Beer | 10.5% | 33 cl,£ 4.59,(3.71),out-of-stock
"Budels Malt 0,0%",Lager | 0.0% | 30 cl,£ 1.69,(2.11),out-of-stock
Affligem Dubbel,Dubbel Beer | 6.8% | 30 cl,£ 2.19,(3.56),out-of-stock
Roman Rebelse Strop,Blond Beer | 6.9% | 33 cl,£ 2.79,(3.43),out-of-stock
Troubadour Magma,IPA | 9.0% | 33 cl,£ 3.09,(3.73),out-of-stock
Vedett Extra Ordinary IPA,IPA | 5.5% | 33 cl,£ 2.49,(3.56),out-of-stock
Liefmans Yell'oh,Fruit Beer | 3.8% | 25 cl,£ 2.09,(2.84),out-of-stock
Moor So'Hop,Pale Ale | 4.1% | 33 cl,£ 2.39,(3.70),out-of-stock
Omer Traditional Blonde,Blond Beer | 8.0% | 33 cl,£ 3.09,(3.64),out-of-stock
First Chop POP,IPA | 5.4% | 33 cl,£ 2.85,(3.41),out-of-stock
Piraat Tripel Hop,Blond Beer | 10.5% | 33 cl,£ 3.19,(3.64),out-of-stock
Bird Brewery Lekkerinde Kauw,Bock Beer | 7.0% | 33 cl,£ 3.09,(3.55),out-of-stock
Troubadour Westkust,IPA | 8.5% | 33 cl,£ 3.09,(3.82),out-of-stock
Moor Return Of The Empire,IPA | 5.7% | 33 cl,£ 2.59,(3.70),out-of-stock
Wilderen Kanunnik Tripel,Tripel Beer | 8.2% | 33 cl,£ 3.09,(3.76),out-of-stock
Mongozo Premium Pilsener,Pilsner & Hoppy Lager | 5.0% | 33 cl,£ 2.49,(2.82),out-of-stock
Rodenbach Classic,Sour Beer | 5.2% | 25 cl,£ 2.19,(3.58),out-of-stock
St. Feuillien Grand Cru,Blond Beer | 9.5% | 33 cl,£ 2.99,(3.79),out-of-stock
Texels Bock,Bock Beer | 7.0% | 30 cl,£ 2.69,(3.53),out-of-stock
Brouwerij Noordt Bok,Bock Beer | 7.0% | 33 cl,£ 3.19,(3.50),out-of-stock
Moinette Biologique,Saison Beer | 7.5% | 25 cl,£ 2.49,(3.71),out-of-stock
Steenbrugge Wit,White Beer | 5.0% | 25 cl,£ 2.09,(3.33),out-of-stock
Moor Revival,Pale Ale | 3.8% | 33 cl,£ 2.59,(3.60),out-of-stock
St. Feuillien Blond,Blond Beer | 7.0% | 33 cl,£ 2.69,(3.55),in-stock
